"Mobbing, dyskryminacja, molestowanie - przeciwdziałanie w praktyce ",Jarosław Marciniak,"['Książki / biznes / praca', 'Książki / prawo / pracy']",okładka miękka,Wolters Kluwer Polska,308,2020-03-18,"64,50 zł"
System prawa ubezpieczeń społecznych. Tom I. Część ogólna [PRZEDSPRZEDAŻ] ,"Iwona Sierocka
                        , 
                                                                                        Renata Babińska-Górecka
                        , 
                                                                                        Katarzyna Roszewska
                        , 
                                                                                        Maciej Jakub Zieliński
                        , 
                                                                                        Dorota Dzienisiuk
                        , 
                                                                                        Kamil Antonów
                        , 
                                                                                        Krzysztof Ślebzak
                        , 
                                                                                        
                        , 
                                                                                        
                        , 
                                                                                        
                        ,","['Książki / biznes / praca', 'Książki / prawo / pracy']",okładka twarda,Wolters Kluwer Polska,628,2020-03-10,"185,50 zł"
Decydujące starcie. Seria Wojna o pieniądz. Tom 5 ,Song Hongbing,"['Książki / biznes / ekonomia', 'Książki / literatura faktu']",okładka miękka,Wektory,382,2020-04-03,"20,65 zł"
Ruch kadrowy w szkole i przedszkolu - 2 części ,"ELŻBIETA PIOTROWSKA-ALBIN
                        , 
                                                                                        LIDIA MARCINIAK","['Książki / biznes / zarządzanie', 'Książki / prawo / inne gałęzie prawa']",okładka miękka,Wolters Kluwer Polska,176,2020-03-06,"55,00 zł"
Komunikowanie w oświacie ,"Małgorzata Dutka-Mucha
                        , 
                                                                                        Beata Wawrzyńczak-Jędryka
                        , 
                                                                                        Krzysztof Gawroński","['Książki / biznes / zarządzanie', 'Książki / prawo']",okładka miękka,Wolters Kluwer Polska,236,2020-03-11,"36,50 zł"
Bluefishing. Sztuka robienia rzeczy niemożliwych ,Steve Sims,['Książki / biznes / marketing'],okładka miękka,Galaktyka,188,2020-03-06,"33,00 zł"
Prawo przedsiębiorców ,"Karolina Karpus
                        , 
                                                                                        Anna Brzezińska-Rawa
                        , 
                                                                                        Bartosz Rakoczy
                        , 
                                                                                        Krzysztof Kucharski
                        , 
                                                                                        Henryk Nowicki
                        , 
                                                                                        Małgorzata Szalewska","['Książki / prawo / gospodarcze', 'Książki / biznes']",okładka twarda,Wolters Kluwer Polska,284,2020-03-04,"120,00 zł"
Ucieczka z pułapki budowania. Efektywne zarządzanie produktem ,Melissa Perri,['Książki / biznes / zarządzanie'],okładka miękka,"One Press, Helion",192,2020-04-07,"34,30 zł"
"Plan marketingowy na jednej stronie. Nowi klienci, większe dochody i firma jedna na milion! ",Allan Dib,"['Książki / biznes / ekonomia', 'Książki / informatyka / Biznes IT / E-biznes', 'Książki / informatyka / Biznes IT / Marketing']",okładka miękka,"One Press, Helion",248,2020-04-10,"34,30 zł"
Znaleźć czas. Twój sprawdzony system produktywności ,Michał Barczak,['Książki / biznes / praca'],okładka miękka,"One Press, Helion",184,2020-03-17,"32,50 zł"
